Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
USER MANAGEMENT,JIR-1,10044,Epic,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Highest,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 11:30,01-04-2026 11:30,,,RELEASE1,04-04-2026 00:00,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@472c51c7,,,,,ghx-label-5,,To Do,,,,dark_teal,,,,,0|i0002n:,,,,01-04-2026 00:00,,,,,,,,,,,,,,To Do,01-04-2026 11:30
PROFILE MANAGEMENT,JIR-2,10045,Epic,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,High,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 11:35,01-04-2026 11:35,01-04-2026 11:38,,RELEASE1,10-04-2026 00:00,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@65041654,,,,,ghx-label-14,,To Do,,,,dark_orange,,,,,0|i0002v:,,,JIR Sprint 1,04-04-2026 00:00,,,,,,,,,,,,,,To Do,01-04-2026 11:35
COURSE MANAGEMENT,JIR-3,10046,Epic,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,High,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 11:36,01-04-2026 11:39,01-04-2026 11:51,,RELEASE1,10-04-2026 00:00,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@320af2fe,,,,,ghx-label-10,,To Do,,,,blue,,,,,0|i00033:,,,JIR Sprint 1,02-04-2026 00:00,,,,,,,,,,,,,,To Do,01-04-2026 11:36
REVIEW,JIR-4,10047,Epic,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,High,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 11:41,01-04-2026 14:02,01-04-2026 14:01,,RELEASE1,27-04-2026 00:00,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@54f02ec0,,,,,ghx-label-4,,To Do,,,,dark_blue,,,,,0|i0003b:,,,JIR Sprint 1,15-04-2026 00:00,,,,,,,,,,,,,,To Do,01-04-2026 11:41
USER SHOULD BE ABLE TO REGISTER INTO THE APPLICATION,JIR-5,10048,Story,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 11:55,01-04-2026 11:56,01-04-2026 14:13,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@68668181,,,,,,,,,,,,,,,,0|i0003j:,,,JIR Sprint 1,,,,,,,,,,,,10044,JIR-1,USER MANAGEMENT,To Do,01-04-2026 11:55
USER SHOULD BE ABLE TO LOGIN INTO THE APPLICATION,JIR-6,10049,Story,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 11:57,01-04-2026 12:30,01-04-2026 12:29,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@208d5698,,,,,,,,,,,,,,,,0|i0003r:,,,JIR Sprint 1,,,,,,,,,,,,10044,JIR-1,USER MANAGEMENT,To Do,01-04-2026 11:57
USER SHOULD BE ABLE TO RESET THE PASSWORD,JIR-7,10050,Story,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 11:58,01-04-2026 14:03,,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@60a998a4,,,,,,,,,,,,,,,,0|i0003z:,,,JIR Sprint 1,,,,,,,,,,,,10044,JIR-1,USER MANAGEMENT,To Do,01-04-2026 11:58
USER SHOULD BE ABLE TO UPDATE HIS ACCOUNT,JIR-8,10051,Story,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 11:58,01-04-2026 12:30,,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1889ac2c,,,,,,,,,,,,,,,,0|i00047:,,,JIR Sprint 1,,,,,,,,,,,,10045,JIR-2,PROFILE MANAGEMENT,To Do,01-04-2026 11:58
USER SHOULD BE ABLE TO SEE THE COURSES,JIR-9,10052,Story,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 12:00,01-04-2026 12:30,,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@659b6476,,,,,,,,,,,,,,,,0|i0004f:,,,JIR Sprint 1,,,,,,,,,,,,10046,JIR-3,COURSE MANAGEMENT,To Do,01-04-2026 12:00
USER SHOULD BE ABLE TO ENROLL INTO A COURSE,JIR-10,10053,Story,To Do,JIR,JIRA1,software,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,Medium,,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,01-04-2026 12:00,01-04-2026 12:31,,,,,0,,,Vatanpreet Kaur,712020:97a15972-6c9a-4a38-8fb6-794961290d25,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6712ea62,,,,,,,,,,,,,,,,0|i0004n:,,,JIR Sprint 1,,,,,,,,,,,,10046,JIR-3,COURSE MANAGEMENT,To Do,01-04-2026 12:00
